Date,Price,Open,High,Low
"Oct 19, 2011",39.0,39.0,39.0,38.0
"Oct 20, 2011",38.0,39.0,39.0,38.0
"Oct 21, 2011",40.0,39.0,40.0,39.0
"Oct 24, 2011",39.0,40.0,40.0,39.0
"Oct 25, 2011",39.0,40.0,40.0,39.0
"Oct 26, 2011",39.0,40.0,40.0,39.0
"Oct 27, 2011",39.0,39.0,39.0,39.0
"Oct 28, 2011",39.0,40.0,40.0,39.0
"Oct 31, 2011",39.0,40.0,40.0,39.0
"Nov 01, 2011",39.0,39.0,39.0,39.0
"Nov 03, 2011",39.0,40.0,41.0,39.0
"Nov 04, 2011",40.0,40.0,40.0,40.0
"Nov 07, 2011",40.0,40.0,40.0,39.0
"Nov 08, 2011",40.0,40.0,40.0,40.0
"Nov 09, 2011",40.0,40.0,41.0,40.0
"Nov 10, 2011",40.0,40.0,41.0,40.0
"Nov 11, 2011",40.0,40.0,41.0,40.0
"Nov 14, 2011",40.0,40.0,41.0,40.0
"Nov 16, 2011",41.0,40.0,41.0,40.0
"Nov 17, 2011",40.0,41.0,41.0,40.0
"Nov 18, 2011",40.0,40.0,40.0,40.0
"Nov 21, 2011",40.0,40.0,40.0,40.0
"Nov 22, 2011",40.0,40.0,40.0,40.0
"Nov 23, 2011",40.0,40.0,40.0,40.0
"Nov 24, 2011",39.0,40.0,40.0,39.0
"Nov 25, 2011",39.0,39.0,39.0,39.0
"Nov 28, 2011",39.0,40.0,40.0,39.0
"Nov 29, 2011",39.0,39.0,39.0,39.0
"Nov 30, 2011",39.0,40.0,40.0,39.0
"Dec 01, 2011",40.0,40.0,40.0,40.0
"Dec 02, 2011",40.0,39.0,40.0,39.0
"Dec 05, 2011",39.0,40.0,40.0,39.0
"Dec 06, 2011",39.0,39.0,39.0,39.0
"Dec 07, 2011",39.0,39.0,39.0,39.0
"Dec 08, 2011",39.0,39.0,39.0,39.0
"Dec 09, 2011",39.0,39.0,39.0,39.0
"Dec 12, 2011",39.0,39.0,39.0,39.0
"Dec 13, 2011",39.0,39.0,39.0,39.0
"Dec 14, 2011",39.0,39.0,39.0,39.0
