Date,Price,Open,High,Low
"Sep 30, 2013",31.0,29.0,34.0,28.5
"Oct 01, 2013",30.0,30.5,32.0,29.0
"Oct 02, 2013",29.5,30.0,30.0,27.5
"Oct 03, 2013",29.0,29.5,30.0,28.0
"Oct 04, 2013",27.0,29.0,29.0,26.5
"Oct 07, 2013",27.0,27.5,29.5,27.0
"Oct 08, 2013",28.0,28.0,28.0,26.5
"Oct 09, 2013",28.0,28.0,29.0,27.0
"Oct 10, 2013",28.5,28.5,29.0,27.5
"Oct 11, 2013",27.0,29.0,29.5,27.0
"Oct 14, 2013",27.0,27.0,28.0,26.5
"Oct 15, 2013",27.5,27.5,28.0,26.5
"Oct 16, 2013",27.5,27.0,27.5,26.0
"Oct 17, 2013",27.0,27.0,27.5,26.5
"Oct 18, 2013",26.5,27.0,28.5,26.5
"Oct 21, 2013",26.5,27.0,28.0,26.5
"Oct 22, 2013",26.5,26.5,27.5,26.0
"Oct 23, 2013",26.5,26.5,26.5,26.0
"Oct 24, 2013",26.5,26.5,27.0,26.5
"Oct 25, 2013",26.5,26.0,26.5,25.5
"Oct 28, 2013",26.5,26.0,26.5,25.5
"Oct 29, 2013",26.0,26.0,26.5,25.0
"Oct 30, 2013",25.5,25.0,25.5,24.5
"Oct 31, 2013",26.0,25.0,26.0,24.5
"Nov 01, 2013",25.0,25.0,25.5,25.0
"Nov 04, 2013",25.0,24.5,25.0,24.5
"Nov 05, 2013",25.5,25.0,25.5,24.5
"Nov 06, 2013",24.5,24.5,25.0,24.0
"Nov 07, 2013",25.0,24.0,25.0,24.0
"Nov 08, 2013",25.0,25.0,25.0,24.0
"Nov 11, 2013",25.0,24.5,25.0,24.0
"Nov 12, 2013",25.0,25.0,25.0,25.0
"Nov 13, 2013",24.5,24.0,24.5,23.5
"Nov 14, 2013",24.5,23.5,24.5,23.5
"Nov 18, 2013",24.0,23.5,24.0,22.0
"Nov 19, 2013",23.5,23.0,24.0,23.0
"Nov 21, 2013",24.0,23.5,24.0,23.5
"Nov 22, 2013",23.5,23.5,23.5,22.0
"Nov 25, 2013",23.5,23.5,23.5,23.5
"Nov 26, 2013",23.5,23.0,23.5,22.0
"Nov 27, 2013",22.5,23.0,23.0,21.5
"Nov 28, 2013",22.5,22.5,22.5,22.0
"Nov 29, 2013",23.0,22.5,23.0,22.5
"Dec 02, 2013",22.5,22.0,22.5,21.5
"Dec 03, 2013",22.0,21.5,22.5,21.0
"Dec 04, 2013",22.0,22.0,22.0,22.0
"Dec 05, 2013",23.0,22.0,23.0,22.0
"Dec 06, 2013",22.5,23.0,23.0,22.0
"Dec 09, 2013",23.0,22.5,23.0,22.5
"Dec 10, 2013",23.0,23.0,23.0,22.5
"Dec 11, 2013",21.5,23.0,23.0,21.5
"Dec 12, 2013",22.5,22.5,22.5,22.0
"Dec 13, 2013",22.0,22.0,22.5,21.5
"Dec 16, 2013",22.0,22.0,22.0,21.5
"Dec 17, 2013",21.5,22.0,22.0,21.5
"Dec 18, 2013",22.0,22.0,22.0,21.5
"Dec 19, 2013",22.0,22.0,22.0,22.0
"Dec 20, 2013",21.5,21.5,22.5,21.0
"Dec 23, 2013",22.0,22.5,22.5,21.5
"Dec 26, 2013",22.5,22.0,22.5,21.5
"Dec 27, 2013",23.0,22.5,23.0,22.0
"Dec 30, 2013",23.5,23.0,23.5,23.0
"Jan 02, 2014",23.0,23.0,23.0,22.5
"Jan 03, 2014",23.0,22.5,23.0,22.5
"Jan 06, 2014",22.5,22.5,22.5,22.0
"Jan 07, 2014",22.5,23.0,23.0,22.5
"Jan 08, 2014",22.5,22.0,22.5,22.0
"Jan 09, 2014",22.5,22.0,22.5,22.0
"Jan 10, 2014",22.5,22.0,22.5,22.0
"Jan 13, 2014",22.5,22.5,22.5,22.0
"Jan 14, 2014",22.0,22.5,22.5,21.5
"Jan 15, 2014",22.0,22.0,22.0,21.5
"Jan 16, 2014",22.0,22.0,22.0,21.5
"Jan 17, 2014",22.0,22.0,22.0,22.0
"Jan 20, 2014",22.0,21.5,22.0,21.5
"Jan 21, 2014",22.0,22.0,22.0,21.5
"Jan 22, 2014",22.0,22.0,22.0,22.0
"Jan 23, 2014",22.0,21.5,22.0,21.5
"Jan 24, 2014",22.0,22.0,22.0,21.5
"Jan 27, 2014",21.5,21.0,21.5,21.0
"Jan 28, 2014",21.5,21.5,22.0,21.0
"Jan 29, 2014",21.5,21.0,21.5,21.0
"Jan 30, 2014",21.0,20.5,21.0,20.5
"Jan 31, 2014",20.5,20.5,21.0,20.0
"Feb 03, 2014",21.5,20.5,24.0,20.5
"Feb 04, 2014",21.0,21.5,22.0,20.5
"Feb 05, 2014",21.5,21.0,21.5,20.5
"Feb 06, 2014",20.5,21.0,21.0,20.5
"Feb 07, 2014",21.0,20.5,21.0,20.5
"Feb 10, 2014",20.5,20.5,20.5,20.5
"Feb 11, 2014",20.5,20.5,21.0,20.5
"Feb 12, 2014",20.5,20.5,20.5,20.5
"Feb 13, 2014",21.5,21.0,21.5,21.0
"Feb 14, 2014",21.5,21.5,22.0,21.5
"Feb 17, 2014",21.5,21.5,21.5,21.5
"Feb 18, 2014",21.0,21.0,21.0,21.0
"Feb 19, 2014",21.0,20.5,21.0,20.0
"Feb 20, 2014",21.0,21.0,21.0,20.5
"Feb 21, 2014",21.0,20.5,21.0,20.5
"Feb 24, 2014",21.5,21.0,21.5,20.5
"Feb 25, 2014",21.0,21.0,21.0,20.5
"Feb 26, 2014",21.0,20.5,21.0,20.5
"Feb 27, 2014",21.0,20.5,21.0,20.5
"Feb 28, 2014",21.5,21.0,21.5,21.0
"Mar 05, 2014",21.5,21.5,21.5,21.5
"Mar 06, 2014",21.5,21.0,21.5,21.0
"Mar 07, 2014",21.5,21.5,21.5,21.0
"Mar 10, 2014",21.0,21.0,21.0,20.5
"Mar 11, 2014",20.5,21.0,21.0,20.5
"Mar 12, 2014",21.0,21.0,21.0,20.5
"Mar 13, 2014",21.0,21.0,21.0,20.5
"Mar 14, 2014",21.5,21.0,21.5,21.0
"Mar 17, 2014",21.0,20.5,21.0,20.5
"Mar 18, 2014",21.0,20.5,21.0,20.5
"Mar 19, 2014",21.0,20.5,21.0,20.5
"Mar 20, 2014",21.0,20.5,21.0,20.5
"Mar 21, 2014",21.0,21.0,21.0,20.5
"Mar 24, 2014",21.0,20.5,21.0,20.5
"Mar 25, 2014",21.0,21.0,21.5,21.0
"Mar 26, 2014",20.5,21.5,21.5,20.0
"Mar 27, 2014",21.0,20.5,21.0,20.0
